name,alpha-3,FileName,URL
Aruba,ABW,ABW.png,https://github.com/dalezak/CountryMapImages/blob/master/ABW.png?raw=true
Afghanistan,AFG,AFG.png,https://github.com/dalezak/CountryMapImages/blob/master/AFG.png?raw=true
Angola,AGO,AGO.png,https://github.com/dalezak/CountryMapImages/blob/master/AGO.png?raw=true
Anguilla,AIA,AIA.png,https://github.com/dalezak/CountryMapImages/blob/master/AIA.png?raw=true
IEland Islands,ALA,ALA.png,https://github.com/dalezak/CountryMapImages/blob/master/ALA.png?raw=true
Albania,ALB,ALB.png,https://github.com/dalezak/CountryMapImages/blob/master/ALB.png?raw=true
Andorra,AND,AND.png,https://github.com/dalezak/CountryMapImages/blob/master/AND.png?raw=true
United Arab Emirates,ARE,ARE.png,https://github.com/dalezak/CountryMapImages/blob/master/ARE.png?raw=true
Argentina,ARG,ARG.png,https://github.com/dalezak/CountryMapImages/blob/master/ARG.png?raw=true
Armenia,ARM,ARM.png,https://github.com/dalezak/CountryMapImages/blob/master/ARM.png?raw=true
American Samoa,ASM,ASM.png,https://github.com/dalezak/CountryMapImages/blob/master/ASM.png?raw=true
Antarctica,ATA,ATA.png,https://github.com/dalezak/CountryMapImages/blob/master/ATA.png?raw=true
French Southern Territories,ATF,ATF.png,https://github.com/dalezak/CountryMapImages/blob/master/ATF.png?raw=true
Antigua and Barbuda,ATG,ATG.png,https://github.com/dalezak/CountryMapImages/blob/master/ATG.png?raw=true
Australia,AUS,AUS.png,https://github.com/dalezak/CountryMapImages/blob/master/AUS.png?raw=true
Austria,AUT,AUT.png,https://github.com/dalezak/CountryMapImages/blob/master/AUT.png?raw=true
Azerbaijan,AZE,AZE.png,https://github.com/dalezak/CountryMapImages/blob/master/AZE.png?raw=true
Burundi,BDI,BDI.png,https://github.com/dalezak/CountryMapImages/blob/master/BDI.png?raw=true
Belgium,BEL,BEL.png,https://github.com/dalezak/CountryMapImages/blob/master/BEL.png?raw=true
Benin,BEN,BEN.png,https://github.com/dalezak/CountryMapImages/blob/master/BEN.png?raw=true
"Bonaire, Sint Eustatius and Saba",BES,BES.png,https://github.com/dalezak/CountryMapImages/blob/master/BES.png?raw=true
Burkina Faso,BFA,BFA.png,https://github.com/dalezak/CountryMapImages/blob/master/BFA.png?raw=true
Bangladesh,BGD,BGD.png,https://github.com/dalezak/CountryMapImages/blob/master/BGD.png?raw=true
Bulgaria,BGR,BGR.png,https://github.com/dalezak/CountryMapImages/blob/master/BGR.png?raw=true
Bahrain,BHR,BHR.png,https://github.com/dalezak/CountryMapImages/blob/master/BHR.png?raw=true
Bahamas,BHS,BHS.png,https://github.com/dalezak/CountryMapImages/blob/master/BHS.png?raw=true
Bosnia and Herzegovina,BIH,BIH.png,https://github.com/dalezak/CountryMapImages/blob/master/BIH.png?raw=true
Saint Barth̩lemy,BLM,BLM.png,https://github.com/dalezak/CountryMapImages/blob/master/BLM.png?raw=true
Belarus,BLR,BLR.png,https://github.com/dalezak/CountryMapImages/blob/master/BLR.png?raw=true
Belize,BLZ,BLZ.png,https://github.com/dalezak/CountryMapImages/blob/master/BLZ.png?raw=true
Bermuda,BMU,BMU.png,https://github.com/dalezak/CountryMapImages/blob/master/BMU.png?raw=true
Bolivia (Plurinational State of),BOL,BOL.png,https://github.com/dalezak/CountryMapImages/blob/master/BOL.png?raw=true
Brazil,BRA,BRA.png,https://github.com/dalezak/CountryMapImages/blob/master/BRA.png?raw=true
Barbados,BRB,BRB.png,https://github.com/dalezak/CountryMapImages/blob/master/BRB.png?raw=true
Brunei Darussalam,BRN,BRN.png,https://github.com/dalezak/CountryMapImages/blob/master/BRN.png?raw=true
Bhutan,BTN,BTN.png,https://github.com/dalezak/CountryMapImages/blob/master/BTN.png?raw=true
Bouvet Island,BVT,BVT.png,https://github.com/dalezak/CountryMapImages/blob/master/BVT.png?raw=true
Botswana,BWA,BWA.png,https://github.com/dalezak/CountryMapImages/blob/master/BWA.png?raw=true
Central African Republic,CAF,CAF.png,https://github.com/dalezak/CountryMapImages/blob/master/CAF.png?raw=true
Canada,CAN,CAN.png,https://github.com/dalezak/CountryMapImages/blob/master/CAN.png?raw=true
Cocos (Keeling) Islands,CCK,CCK.png,https://github.com/dalezak/CountryMapImages/blob/master/CCK.png?raw=true
Switzerland,CHE,CHE.png,https://github.com/dalezak/CountryMapImages/blob/master/CHE.png?raw=true
Chile,CHL,CHL.png,https://github.com/dalezak/CountryMapImages/blob/master/CHL.png?raw=true
China,CHN,CHN.png,https://github.com/dalezak/CountryMapImages/blob/master/CHN.png?raw=true
Côte d'Ivoire,CIV,CIV.png,https://github.com/dalezak/CountryMapImages/blob/master/CIV.png?raw=true
Cameroon,CMR,CMR.png,https://github.com/dalezak/CountryMapImages/blob/master/CMR.png?raw=true
Congo (Democratic Republic of the),COD,COD.png,https://github.com/dalezak/CountryMapImages/blob/master/COD.png?raw=true
Congo,COG,COG.png,https://github.com/dalezak/CountryMapImages/blob/master/COG.png?raw=true
Cook Islands,COK,COK.png,https://github.com/dalezak/CountryMapImages/blob/master/COK.png?raw=true
Colombia,COL,COL.png,https://github.com/dalezak/CountryMapImages/blob/master/COL.png?raw=true
Comoros,COM,COM.png,https://github.com/dalezak/CountryMapImages/blob/master/COM.png?raw=true
Cabo Verde,CPV,CPV.png,https://github.com/dalezak/CountryMapImages/blob/master/CPV.png?raw=true
Costa Rica,CRI,CRI.png,https://github.com/dalezak/CountryMapImages/blob/master/CRI.png?raw=true
Cuba,CUB,CUB.png,https://github.com/dalezak/CountryMapImages/blob/master/CUB.png?raw=true
Cura̤ao,CUW,CUW.png,https://github.com/dalezak/CountryMapImages/blob/master/CUW.png?raw=true
Christmas Island,CXR,CXR.png,https://github.com/dalezak/CountryMapImages/blob/master/CXR.png?raw=true
Cayman Islands,CYM,CYM.png,https://github.com/dalezak/CountryMapImages/blob/master/CYM.png?raw=true
Cyprus,CYP,CYP.png,https://github.com/dalezak/CountryMapImages/blob/master/CYP.png?raw=true
Czechia,CZE,CZE.png,https://github.com/dalezak/CountryMapImages/blob/master/CZE.png?raw=true
Germany,DEU,DEU.png,https://github.com/dalezak/CountryMapImages/blob/master/DEU.png?raw=true
Djibouti,DJI,DJI.png,https://github.com/dalezak/CountryMapImages/blob/master/DJI.png?raw=true
Dominica,DMA,DMA.png,https://github.com/dalezak/CountryMapImages/blob/master/DMA.png?raw=true
Denmark,DNK,DNK.png,https://github.com/dalezak/CountryMapImages/blob/master/DNK.png?raw=true
Dominican Republic,DOM,DOM.png,https://github.com/dalezak/CountryMapImages/blob/master/DOM.png?raw=true
Algeria,DZA,DZA.png,https://github.com/dalezak/CountryMapImages/blob/master/DZA.png?raw=true
Ecuador,ECU,ECU.png,https://github.com/dalezak/CountryMapImages/blob/master/ECU.png?raw=true
Egypt,EGY,EGY.png,https://github.com/dalezak/CountryMapImages/blob/master/EGY.png?raw=true
Eritrea,ERI,ERI.png,https://github.com/dalezak/CountryMapImages/blob/master/ERI.png?raw=true
Western Sahara,ESH,ESH.png,https://github.com/dalezak/CountryMapImages/blob/master/ESH.png?raw=true
Spain,ESP,ESP.png,https://github.com/dalezak/CountryMapImages/blob/master/ESP.png?raw=true
Estonia,EST,EST.png,https://github.com/dalezak/CountryMapImages/blob/master/EST.png?raw=true
Ethiopia,ETH,ETH.png,https://github.com/dalezak/CountryMapImages/blob/master/ETH.png?raw=true
Finland,FIN,FIN.png,https://github.com/dalezak/CountryMapImages/blob/master/FIN.png?raw=true
Fiji,FJI,FJI.png,https://github.com/dalezak/CountryMapImages/blob/master/FJI.png?raw=true
Falkland Islands (Malvinas),FLK,FLK.png,https://github.com/dalezak/CountryMapImages/blob/master/FLK.png?raw=true
France,FRA,FRA.png,https://github.com/dalezak/CountryMapImages/blob/master/FRA.png?raw=true
Faroe Islands,FRO,FRO.png,https://github.com/dalezak/CountryMapImages/blob/master/FRO.png?raw=true
Micronesia (Federated States of),FSM,FSM.png,https://github.com/dalezak/CountryMapImages/blob/master/FSM.png?raw=true
Gabon,GAB,GAB.png,https://github.com/dalezak/CountryMapImages/blob/master/GAB.png?raw=true
United Kingdom of Great Britain and Northern Ireland,GBR,GBR.png,https://github.com/dalezak/CountryMapImages/blob/master/GBR.png?raw=true
Georgia,GEO,GEO.png,https://github.com/dalezak/CountryMapImages/blob/master/GEO.png?raw=true
Guernsey,GGY,GGY.png,https://github.com/dalezak/CountryMapImages/blob/master/GGY.png?raw=true
Ghana,GHA,GHA.png,https://github.com/dalezak/CountryMapImages/blob/master/GHA.png?raw=true
Gibraltar,GIB,GIB.png,https://github.com/dalezak/CountryMapImages/blob/master/GIB.png?raw=true
Guinea,GIN,GIN.png,https://github.com/dalezak/CountryMapImages/blob/master/GIN.png?raw=true
Guadeloupe,GLP,GLP.png,https://github.com/dalezak/CountryMapImages/blob/master/GLP.png?raw=true
Gambia,GMB,GMB.png,https://github.com/dalezak/CountryMapImages/blob/master/GMB.png?raw=true
Guinea-Bissau,GNB,GNB.png,https://github.com/dalezak/CountryMapImages/blob/master/GNB.png?raw=true
Equatorial Guinea,GNQ,GNQ.png,https://github.com/dalezak/CountryMapImages/blob/master/GNQ.png?raw=true
Greece,GRC,GRC.png,https://github.com/dalezak/CountryMapImages/blob/master/GRC.png?raw=true
Grenada,GRD,GRD.png,https://github.com/dalezak/CountryMapImages/blob/master/GRD.png?raw=true
Greenland,GRL,GRL.png,https://github.com/dalezak/CountryMapImages/blob/master/GRL.png?raw=true
Guatemala,GTM,GTM.png,https://github.com/dalezak/CountryMapImages/blob/master/GTM.png?raw=true
French Guiana,GUF,GUF.png,https://github.com/dalezak/CountryMapImages/blob/master/GUF.png?raw=true
Guam,GUM,GUM.png,https://github.com/dalezak/CountryMapImages/blob/master/GUM.png?raw=true
Guyana,GUY,GUY.png,https://github.com/dalezak/CountryMapImages/blob/master/GUY.png?raw=true
Hong Kong,HKG,HKG.png,https://github.com/dalezak/CountryMapImages/blob/master/HKG.png?raw=true
Heard Island and McDonald Islands,HMD,HMD.png,https://github.com/dalezak/CountryMapImages/blob/master/HMD.png?raw=true
Honduras,HND,HND.png,https://github.com/dalezak/CountryMapImages/blob/master/HND.png?raw=true
