ISO3,Year,value,Name
AFG,2006,27.3,SG.GEN.PARL.ZS
AGO,2006,15,SG.GEN.PARL.ZS
ALB,2006,7.1,SG.GEN.PARL.ZS
AND,2006,28.6,SG.GEN.PARL.ZS
ARE,2006,5,SG.GEN.PARL.ZS
ARG,2006,35,SG.GEN.PARL.ZS
ARM,2006,5.3,SG.GEN.PARL.ZS
ATG,2006,10.5,SG.GEN.PARL.ZS
AUS,2006,24.7,SG.GEN.PARL.ZS
AUT,2006,32.2,SG.GEN.PARL.ZS
AZE,2006,11.3,SG.GEN.PARL.ZS
BDI,2006,30.5,SG.GEN.PARL.ZS
BEL,2006,34.7,SG.GEN.PARL.ZS
BEN,2006,7.2,SG.GEN.PARL.ZS
BFA,2006,11.7,SG.GEN.PARL.ZS
BGD,2006,15.1,SG.GEN.PARL.ZS
BGR,2006,22.1,SG.GEN.PARL.ZS
BHR,2006,2.5,SG.GEN.PARL.ZS
BHS,2006,20,SG.GEN.PARL.ZS
BIH,2006,14.3,SG.GEN.PARL.ZS
BLR,2006,29.1,SG.GEN.PARL.ZS
BLZ,2006,6.7,SG.GEN.PARL.ZS
BOL,2006,16.9,SG.GEN.PARL.ZS
BRA,2006,8.8,SG.GEN.PARL.ZS
BRB,2006,13.3,SG.GEN.PARL.ZS
BTN,2006,2.7,SG.GEN.PARL.ZS
BWA,2006,11.1,SG.GEN.PARL.ZS
CAF,2006,10.5,SG.GEN.PARL.ZS
CAN,2006,20.8,SG.GEN.PARL.ZS
CHE,2006,25,SG.GEN.PARL.ZS
CHL,2006,15,SG.GEN.PARL.ZS
CHN,2006,20.3,SG.GEN.PARL.ZS
CIV,2006,8.5,SG.GEN.PARL.ZS
CMR,2006,8.9,SG.GEN.PARL.ZS
COD,2006,8.4,SG.GEN.PARL.ZS
COG,2006,8.5,SG.GEN.PARL.ZS
COL,2006,8.4,SG.GEN.PARL.ZS
COM,2006,3,SG.GEN.PARL.ZS
CPV,2006,15.3,SG.GEN.PARL.ZS
CRI,2006,38.6,SG.GEN.PARL.ZS
CUB,2006,36,SG.GEN.PARL.ZS
CYP,2006,14.3,SG.GEN.PARL.ZS
CZE,2006,15.5,SG.GEN.PARL.ZS
DEU,2006,31.6,SG.GEN.PARL.ZS
DJI,2006,10.8,SG.GEN.PARL.ZS
DMA,2006,12.9,SG.GEN.PARL.ZS
DNK,2006,36.9,SG.GEN.PARL.ZS
DOM,2006,19.7,SG.GEN.PARL.ZS
